family,profile,cell,seeds,examples,precision_n,precision_mean,precision_std,precision_min,precision_max,recall_n,recall_mean,recall_std,recall_min,recall_max,f1_n,f1_mean,f1_std,f1_min,f1_max
berturk,conservative,twitter_to_twitter,42;43;44;45;46,286,5,0.6922704780377564,0.00978819266648494,0.6812227074235808,0.7043090638930164,5,0.7759472817133444,0.010155542014775901,0.7644151565074135,0.7907742998352554,5,0.7317124768176169,0.009425878922924421,0.7233384853168471,0.7430340557275542
berturk,conservative,twitter_to_wiki,42;43;44;45;46,1000,5,0.46629219394887106,0.014520203908958708,0.4510322922181048,0.4894911504424779,5,0.5751315789473684,0.018175049105086338,0.5605263157894737,0.6039473684210527,5,0.5149369799134714,0.0141366794094806,0.4998533294221179,0.5318509615384616
berturk,conservative,wiki_to_twitter,42;43;44;45;46,286,5,0.6177401650340404,0.0048363102793721234,0.6108202443280978,0.6217162872154116,5,0.5782537067545305,0.008871770687206754,0.5700164744645799,0.5897858319604613,5,0.5973244256538215,0.0062082830989716375,0.5914529914529915,0.6052409129332206
berturk,conservative,wiki_to_wiki,42;43;44;45;46,1000,5,0.8753836415727285,0.00439955823932865,0.8707753479125249,0.88,5,0.8678947368421053,0.005452990996079516,0.8631578947368421,0.8769736842105263,5,0.8716196016018092,0.004557602675609451,0.8676130736216574,0.8784184514003295
berturk,extended_risky,wiki_to_twitter,42;43;44;45;46,286,5,0.5910146235288455,0.0067500775310285095,0.5829228243021346,0.5980392156862745,5,0.5283406754772394,0.00813620862096622,0.5198237885462555,0.5374449339207048,5,0.5579037078476847,0.006690035918005115,0.5503875968992248,0.5661252900232019
berturk,extended_safe,wiki_to_twitter,42;43;44;45;46,286,5,0.6038408967729798,0.005313628989713661,0.5959595959595959,0.6076794657762938,5,0.5387387387387388,0.008319456562879931,0.53003003003003,0.5480480480480481,5,0.5694150377479981,0.006200063870757135,0.5619047619047619,0.5761641673243884
berturk,strict_direct_overlap,wiki_to_twitter,42;43;44;45;46,286,5,0.6053425065308187,0.014612848786779572,0.5844504021447721,0.6216216216216216,5,0.5441747572815534,0.01649771404656934,0.5266990291262136,0.5631067961165048,5,0.5730691126674147,0.014347891675408633,0.5554140127388535,0.5882352941176471
distilberturk,conservative,twitter_to_twitter,42;43;44;45;46,286,5,0.5027298085086677,0.012224651374532934,0.48519736842105265,0.5142405063291139,5,0.5212520593080725,0.020760440200360265,0.48599670510708404,0.5354200988467874,5,0.5117850407976768,0.016155342869257606,0.48559670781893005,0.5246166263115416
distilberturk,conservative,twitter_to_wiki,42;43;44;45;46,1000,5,0.21035098852517975,0.02773336446751962,0.18813033359193174,0.2439830108541765,5,0.3269736842105263,0.011470786693528082,0.3138157894736842,0.3401315789473684,5,0.25553872600273325,0.02372490608361208,0.23670082967301123,0.28414399560318765
distilberturk,conservative,wiki_to_twitter,42;43;44;45;46,286,5,0.5328986136884897,0.005914173378149348,0.5253623188405797,0.5411985018726592,5,0.47545304777594727,0.008528618850441372,0.4612850082372323,0.4843492586490939,5,0.5025038799085135,0.005970726329657294,0.4933920704845815,0.5086505190311419
distilberturk,conservative,wiki_to_wiki,42;43;44;45;46,1000,5,0.8081374080558225,0.008520071299352231,0.7956298200514139,0.8185378590078329,5,0.8222368421052632,0.005393131982083986,0.8144736842105263,0.8289473684210527,5,0.8151159707215415,0.00640010658996606,0.8049414824447334,0.8217562254259503
distilberturk,extended_risky,wiki_to_twitter,42;43;44;45;46,286,5,0.5048197220128292,0.010095676090655143,0.4966442953020134,0.522202486678508,5,0.4287812041116006,0.007559199809828928,0.4155653450807636,0.434654919236417,5,0.46364121070693975,0.006264616493298876,0.45498392282958194,0.47266881028938906
distilberturk,extended_safe,wiki_to_twitter,42;43;44;45;46,286,5,0.5236579003369632,0.007052931130448647,0.5177304964539007,0.5357798165137615,5,0.43633633633633634,0.007325111662252532,0.42342342342342343,0.44144144144144143,5,0.47599126028794897,0.005764783868889792,0.46688741721854304,0.48224607762180016
distilberturk,strict_direct_overlap,wiki_to_twitter,42;43;44;45;46,286,5,0.5271281844955475,0.011911693097829803,0.515850144092219,0.5427728613569321,5,0.4368932038834951,0.008751338047242716,0.42475728155339804,0.44660194174757284,5,0.47770923666587517,0.0075266983820393716,0.4716732542819499,0.49001331557922767
