status,approach,model_slug,device_profile,prompt_strategy,seed,entity_type,tp,fp,fn,precision,recall,f1
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,CARDINAL,0,10,240,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,DATE,14,292,329,0.0457516339869281,0.04081632653061224,0.04314329738058551
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,EVENT,5,480,90,0.010309278350515464,0.05263157894736842,0.017241379310344827
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,FAC,0,4,46,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,GPE,7,382,559,0.017994858611825194,0.012367491166077738,0.014659685863874346
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,LANGUAGE,0,24,29,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,LAW,0,6,6,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,LOC,2,276,48,0.007194244604316547,0.04,0.012195121951219511
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,MONEY,1,10,4,0.09090909090909091,0.2,0.12500000000000003
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,NORP,1,232,211,0.004291845493562232,0.0047169811320754715,0.0044943820224719105
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,ORDINAL,0,34,104,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,ORG,9,249,241,0.03488372093023256,0.036,0.03543307086614173
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,PERCENT,0,10,4,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,PERSON,34,563,620,0.05695142378559464,0.05198776758409786,0.05435651478816947
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,PRODUCT,3,186,58,0.015873015873015872,0.04918032786885246,0.023999999999999997
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,QUANTITY,4,209,32,0.018779342723004695,0.1111111111111111,0.032128514056224904
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,TIME,0,129,4,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,TITLE,2,156,151,0.012658227848101266,0.013071895424836602,0.012861736334405145
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,WORK_OF_ART,5,404,153,0.012224938875305624,0.03164556962025317,0.01763668430335097
completed,llm_http,aya-expanse-8b,gpu,one-shot,2401,CARDINAL,0,8,240,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,one-shot,2401,DATE,37,268,306,0.12131147540983607,0.10787172011661808,0.11419753086419752
completed,llm_http,aya-expanse-8b,gpu,one-shot,2401,EVENT,7,429,88,0.016055045871559634,0.07368421052631578,0.026365348399246705
completed,llm_http,aya-expanse-8b,gpu,one-shot,2401,FAC,0,1,46,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,one-shot,2401,GPE,9,252,557,0.034482758620689655,0.015901060070671377,0.021765417170495762
completed,llm_http,aya-expanse-8b,gpu,one-shot,2401,LANGUAGE,0,25,29,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,one-shot,2401,LAW,0,4,6,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,one-shot,2401,LOC,1,219,49,0.004545454545454545,0.02,0.007407407407407408
completed,llm_http,aya-expanse-8b,gpu,one-shot,2401,MONEY,1,9,4,0.1,0.2,0.13333333333333333
completed,llm_http,aya-expanse-8b,gpu,one-shot,2401,NORP,3,207,209,0.014285714285714285,0.014150943396226415,0.014218009478672985
completed,llm_http,aya-expanse-8b,gpu,one-shot,2401,ORDINAL,0,24,104,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,one-shot,2401,ORG,7,193,243,0.035,0.028,0.031111111111111117
completed,llm_http,aya-expanse-8b,gpu,one-shot,2401,PERCENT,0,13,4,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,one-shot,2401,PERSON,23,541,631,0.040780141843971635,0.035168195718654434,0.03776683087027915
completed,llm_http,aya-expanse-8b,gpu,one-shot,2401,PRODUCT,1,155,60,0.00641025641025641,0.01639344262295082,0.00921658986175115
completed,llm_http,aya-expanse-8b,gpu,one-shot,2401,QUANTITY,3,194,33,0.015228426395939087,0.08333333333333333,0.025751072961373387
completed,llm_http,aya-expanse-8b,gpu,one-shot,2401,TIME,0,84,4,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,one-shot,2401,TITLE,2,113,151,0.017391304347826087,0.013071895424836602,0.01492537313432836
completed,llm_http,aya-expanse-8b,gpu,one-shot,2401,WORK_OF_ART,2,365,156,0.005449591280653951,0.012658227848101266,0.00761904761904762
completed,llm_http,aya-expanse-8b,gpu,one-shot,42,CARDINAL,2,10,238,0.16666666666666666,0.008333333333333333,0.015873015873015872
completed,llm_http,aya-expanse-8b,gpu,one-shot,42,DATE,21,259,322,0.075,0.061224489795918366,0.06741573033707865
completed,llm_http,aya-expanse-8b,gpu,one-shot,42,EVENT,2,245,93,0.008097165991902834,0.021052631578947368,0.011695906432748539
completed,llm_http,aya-expanse-8b,gpu,one-shot,42,FAC,0,8,46,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,one-shot,42,GPE,30,339,536,0.08130081300813008,0.053003533568904596,0.06417112299465241
completed,llm_http,aya-expanse-8b,gpu,one-shot,42,LANGUAGE,2,14,27,0.125,0.06896551724137931,0.08888888888888889
completed,llm_http,aya-expanse-8b,gpu,one-shot,42,LAW,0,2,6,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,one-shot,42,LOC,1,222,49,0.004484304932735426,0.02,0.007326007326007326
completed,llm_http,aya-expanse-8b,gpu,one-shot,42,MONEY,0,8,5,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,one-shot,42,NORP,15,184,197,0.07537688442211055,0.07075471698113207,0.07299270072992702
completed,llm_http,aya-expanse-8b,gpu,one-shot,42,ORDINAL,2,27,102,0.06896551724137931,0.019230769230769232,0.030075187969924814
completed,llm_http,aya-expanse-8b,gpu,one-shot,42,ORG,9,185,241,0.04639175257731959,0.036,0.040540540540540536
completed,llm_http,aya-expanse-8b,gpu,one-shot,42,PERCENT,0,3,4,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,one-shot,42,PERSON,86,529,568,0.13983739837398373,0.13149847094801223,0.1355397951142632
completed,llm_http,aya-expanse-8b,gpu,one-shot,42,PRODUCT,2,92,59,0.02127659574468085,0.03278688524590164,0.025806451612903226
completed,llm_http,aya-expanse-8b,gpu,one-shot,42,QUANTITY,0,185,36,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,one-shot,42,TIME,0,55,4,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,one-shot,42,TITLE,2,83,151,0.023529411764705882,0.013071895424836602,0.01680672268907563
completed,llm_http,aya-expanse-8b,gpu,one-shot,42,WORK_OF_ART,6,218,152,0.026785714285714284,0.0379746835443038,0.03141361256544503
completed,llm_http,aya-expanse-8b,gpu,three-shot,1771,CARDINAL,0,15,240,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,three-shot,1771,DATE,29,296,314,0.08923076923076922,0.08454810495626822,0.08682634730538923
completed,llm_http,aya-expanse-8b,gpu,three-shot,1771,EVENT,10,643,85,0.015313935681470138,0.10526315789473684,0.026737967914438505
completed,llm_http,aya-expanse-8b,gpu,three-shot,1771,FAC,0,3,46,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,three-shot,1771,GPE,25,383,541,0.061274509803921566,0.044169611307420496,0.0513347022587269
completed,llm_http,aya-expanse-8b,gpu,three-shot,1771,LANGUAGE,1,41,28,0.023809523809523808,0.034482758620689655,0.028169014084507043
completed,llm_http,aya-expanse-8b,gpu,three-shot,1771,LAW,0,9,6,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,three-shot,1771,LOC,7,281,43,0.024305555555555556,0.14,0.04142011834319527
completed,llm_http,aya-expanse-8b,gpu,three-shot,1771,MONEY,0,10,5,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,three-shot,1771,NORP,8,239,204,0.032388663967611336,0.03773584905660377,0.034858387799564274
completed,llm_http,aya-expanse-8b,gpu,three-shot,1771,ORDINAL,1,40,103,0.024390243902439025,0.009615384615384616,0.013793103448275864
completed,llm_http,aya-expanse-8b,gpu,three-shot,1771,ORG,32,241,218,0.11721611721611722,0.128,0.12237093690248567
completed,llm_http,aya-expanse-8b,gpu,three-shot,1771,PERCENT,0,9,4,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,three-shot,1771,PERSON,145,584,509,0.19890260631001372,0.2217125382262997,0.20968908170643527
completed,llm_http,aya-expanse-8b,gpu,three-shot,1771,PRODUCT,7,181,54,0.03723404255319149,0.11475409836065574,0.05622489959839357
completed,llm_http,aya-expanse-8b,gpu,three-shot,1771,QUANTITY,14,408,22,0.03317535545023697,0.3888888888888889,0.061135371179039305
completed,llm_http,aya-expanse-8b,gpu,three-shot,1771,TIME,0,164,4,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,three-shot,1771,TITLE,14,296,139,0.04516129032258064,0.0915032679738562,0.06047516198704104
completed,llm_http,aya-expanse-8b,gpu,three-shot,1771,WORK_OF_ART,17,819,141,0.02033492822966507,0.10759493670886076,0.034205231388329975
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,CARDINAL,0,16,240,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,DATE,44,275,299,0.13793103448275862,0.1282798833819242,0.13293051359516617
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,EVENT,8,757,87,0.01045751633986928,0.08421052631578947,0.018604651162790697
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,FAC,0,3,46,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,GPE,12,297,554,0.038834951456310676,0.02120141342756184,0.02742857142857143
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,LANGUAGE,1,26,28,0.037037037037037035,0.034482758620689655,0.03571428571428571
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,LAW,0,8,6,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,LOC,4,284,46,0.013888888888888888,0.08,0.02366863905325444
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,MONEY,0,12,5,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,NORP,6,230,206,0.025423728813559324,0.02830188679245283,0.026785714285714288
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,ORDINAL,1,91,103,0.010869565217391304,0.009615384615384616,0.01020408163265306
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,ORG,18,264,232,0.06382978723404255,0.072,0.06766917293233081
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,PERCENT,0,9,4,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,PERSON,89,502,565,0.1505922165820643,0.13608562691131498,0.1429718875502008
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,PRODUCT,5,196,56,0.024875621890547265,0.08196721311475409,0.03816793893129771
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,QUANTITY,8,344,28,0.022727272727272728,0.2222222222222222,0.041237113402061855
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,TIME,0,122,4,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,TITLE,11,280,142,0.037800687285223365,0.0718954248366013,0.04954954954954954
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,WORK_OF_ART,13,658,145,0.019374068554396422,0.08227848101265822,0.031363088057901084
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,CARDINAL,0,7,240,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,DATE,41,301,302,0.11988304093567251,0.119533527696793,0.11970802919708028
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,EVENT,9,418,86,0.02107728337236534,0.09473684210526316,0.034482758620689655
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,FAC,1,10,45,0.09090909090909091,0.021739130434782608,0.03508771929824561
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,GPE,45,383,521,0.10514018691588785,0.07950530035335689,0.09054325955734407
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,LANGUAGE,1,33,28,0.029411764705882353,0.034482758620689655,0.03174603174603175
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,LAW,0,6,6,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,LOC,2,242,48,0.00819672131147541,0.04,0.013605442176870748
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,MONEY,0,13,5,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,NORP,10,249,202,0.03861003861003861,0.04716981132075472,0.042462845010615716
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,ORDINAL,1,51,103,0.019230769230769232,0.009615384615384616,0.012820512820512822
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,ORG,29,219,221,0.11693548387096774,0.116,0.11646586345381525
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,PERCENT,0,6,4,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,PERSON,167,510,487,0.2466765140324963,0.25535168195718655,0.25093914350112695
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,PRODUCT,6,144,55,0.04,0.09836065573770492,0.05687203791469194
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,QUANTITY,6,322,30,0.018292682926829267,0.16666666666666666,0.03296703296703297
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,TIME,0,98,4,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,TITLE,7,135,146,0.04929577464788732,0.0457516339869281,0.04745762711864406
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,WORK_OF_ART,14,583,144,0.023450586264656615,0.08860759493670886,0.037086092715231785
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,CARDINAL,0,27,240,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,DATE,4,245,339,0.01606425702811245,0.011661807580174927,0.013513513513513513
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,EVENT,2,174,93,0.011363636363636364,0.021052631578947368,0.014760147601476016
