status,approach,model_slug,device_profile,prompt_strategy,seed,component,count,mean_ms,median_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,client_e2e,1000,1474.4788314330003,1319.3872595,2615.9732641000005,3206.7836827999986,4619.763014999999,96.703976,5214.486635
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,client_generation_after_first_token,1000,1422.994094278999,1267.783852,2563.7393233000007,3154.306926449999,4561.323847979998,52.530955000000006,5152.069176
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,client_output_tokens_per_second,1000,72.17866829330052,72.73319076926796,73.63559482235269,73.75955270181883,74.04140469988074,43.398029611413,74.18204841474834
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,client_ttft,1000,51.48473715400002,51.633927,53.993018700000015,61.9383919,62.63514979,39.60977,63.548254
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,server_decode,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,server_generation,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,server_inference,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,server_mean_itl,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,server_prefill,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,server_queue,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,server_tokens_per_second,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,one-shot,1771,server_ttft,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,one-shot,2401,client_e2e,1000,1260.9507354110006,1090.4950285,2295.9060015000005,2802.7894478999992,3566.63713793,103.974341,4544.944689
completed,llm_http,aya-expanse-8b,gpu,one-shot,2401,client_generation_after_first_token,1000,1204.5533887530003,1038.6552265,2234.3304919,2740.8777770999995,3504.1484678599995,52.294261000000006,4482.175646
completed,llm_http,aya-expanse-8b,gpu,one-shot,2401,client_output_tokens_per_second,1000,71.16659571356452,72.16706575248278,73.30390498470712,73.49903653174047,73.75812443118586,41.723750668445774,73.97262454863483
completed,llm_http,aya-expanse-8b,gpu,one-shot,2401,client_ttft,1000,56.39734665800001,52.5639805,62.3714703,62.6475443,66.53008605999999,47.07834,67.042796
completed,llm_http,aya-expanse-8b,gpu,one-shot,2401,server_decode,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,one-shot,2401,server_generation,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,one-shot,2401,server_inference,0,,,,,,,
