status,approach,model_slug,device_profile,runtime_device,runtime_dtype,gpu_name,prompt_strategy,seed,examples_evaluated,precision,recall,f1,accuracy,tp,fp,fn,successful_requests,failed_requests,valid_json_requests,schema_valid_requests,truncated_requests,parse_failures,rejected_prediction_reasons,finish_reasons,error_taxonomy,latency_mean_ms,latency_median_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,requests_per_second,scoring_protocol,latency_protocol
completed,llm_http,aya-expanse-8b,gpu,cuda,,,one-shot,1771,1000,0.021604171840079463,0.028846153846153848,0.024705381229589665,0.6816208393632417,87,3940,2929,1000,0,994,28,6,"{""invalid_json"": 6}","{""invalid_label"": 284, ""missing_fields"": 1, ""out_of_range_indices"": 103, ""text_mismatch"": 3284}","{""length"": 6, ""stop"": 994}","{""boundary_and_label_error"": 70, ""boundary_error"": 65, ""label_error"": 12, ""missing_entity"": 2782, ""rejected_prediction"": 3672, ""spurious_prediction"": 121}",1474.4788314330003,1319.3872595,2615.9732641000005,3206.7836827999986,4619.763014999999,0.6782057352618152,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
completed,llm_http,aya-expanse-8b,gpu,cuda,,,one-shot,2401,1000,0.028111273792093706,0.03183023872679045,0.029855387964546728,0.682836468885673,96,3319,2920,1000,0,1000,44,0,{},"{""invalid_label"": 215, ""out_of_range_indices"": 46, ""text_mismatch"": 2791}","{""stop"": 1000}","{""boundary_and_label_error"": 75, ""boundary_error"": 70, ""label_error"": 20, ""missing_entity"": 2755, ""rejected_prediction"": 3052, ""spurious_prediction"": 102}",1260.9507354110006,1090.4950285,2295.9060015000005,2802.7894478999992,3566.63713793,0.7930523944490623,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
completed,llm_http,aya-expanse-8b,gpu,cuda,,,one-shot,42,1000,0.05928853754940711,0.05968169761273209,0.059484467944481166,0.7027496382054993,180,2856,2836,1000,0,993,146,7,"{""invalid_json"": 7}","{""invalid_label"": 188, ""out_of_range_indices"": 51, ""text_mismatch"": 2233}","{""length"": 7, ""stop"": 993}","{""boundary_and_label_error"": 49, ""boundary_error"": 122, ""label_error"": 43, ""missing_entity"": 2622, ""rejected_prediction"": 2472, ""spurious_prediction"": 170}",1128.825388744999,814.6990745,2129.2798984,2765.911704499999,4772.781635089999,0.8858766023253394,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
completed,llm_http,aya-expanse-8b,gpu,cuda,,,three-shot,1771,1000,0.05620014503263234,0.10278514588859416,0.07266760431317393,0.6746164978292329,310,5206,2706,1000,0,930,24,70,"{""invalid_json"": 70}","{""invalid_label"": 544, ""out_of_range_indices"": 28, ""text_mismatch"": 3845}","{""length"": 70, ""stop"": 930}","{""boundary_and_label_error"": 137, ""boundary_error"": 111, ""label_error"": 59, ""missing_entity"": 2399, ""rejected_prediction"": 4417, ""spurious_prediction"": 482}",2346.5734461690026,2025.6866915,4344.483847300002,5221.364474149999,5228.69163146,0.4261532924241481,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
completed,llm_http,aya-expanse-8b,gpu,cuda,,,three-shot,2401,1000,0.04328152665748574,0.07294429708222812,0.05432769477713299,0.6688277858176556,220,4863,2796,1000,0,970,20,30,"{""invalid_json"": 30}","{""invalid_label"": 489, ""out_of_range_indices"": 11, ""text_mismatch"": 3681}","{""length"": 30, ""stop"": 970}","{""boundary_and_label_error"": 124, ""boundary_error"": 102, ""label_error"": 48, ""missing_entity"": 2522, ""rejected_prediction"": 4181, ""spurious_prediction"": 408}",1974.1380515699993,1686.9143490000001,3647.437656200001,4518.743056149998,5216.97268114,0.5065501874120285,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
completed,llm_http,aya-expanse-8b,gpu,cuda,,,three-shot,42,1000,0.07628262826282628,0.11240053050397877,0.09088471849865952,0.703849493487699,339,4105,2677,1000,0,971,50,29,"{""invalid_json"": 29}","{""invalid_label"": 375, ""out_of_range_indices"": 16, ""text_mismatch"": 3165}","{""length"": 29, ""stop"": 971}","{""boundary_and_label_error"": 93, ""boundary_error"": 106, ""label_error"": 87, ""missing_entity"": 2391, ""rejected_prediction"": 3556, ""spurious_prediction"": 263}",1736.4211431220012,1409.3824559999998,3378.6696358,4176.09449315,5230.19561521,0.5758971571850642,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
completed,llm_http,aya-expanse-8b,gpu,cuda,,,zero-shot,fixed,1000,0.007087172218284904,0.006631299734748011,0.00685166152792052,0.6934298118668596,20,2802,2996,1000,0,986,17,14,"{""invalid_json"": 14}","{""invalid_label"": 127, ""out_of_range_indices"": 144, ""text_mismatch"": 2495}","{""length"": 14, ""stop"": 986}","{""boundary_and_label_error"": 7, ""boundary_error"": 15, ""label_error"": 2, ""missing_entity"": 2972, ""rejected_prediction"": 2766, ""spurious_prediction"": 12}",1747.331284127002,1687.2189250000001,2960.4195673000004,3509.253120349999,5176.47616715,0.5723013197807065,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
completed,llm_http,gemma-3-12b-it,gpu,cuda,,,one-shot,1771,1000,0.2363452461227242,0.23242705570291777,0.23436977599465061,0.7601736613603474,701,2265,2315,1000,0,999,428,1,"{""invalid_json"": 1}","{""invalid_label"": 22, ""out_of_range_indices"": 15, ""text_mismatch"": 1384}","{""length"": 1, ""stop"": 999}","{""boundary_and_label_error"": 192, ""boundary_error"": 229, ""label_error"": 136, ""missing_entity"": 1758, ""rejected_prediction"": 1421, ""spurious_prediction"": 287}",1611.5504211140008,1227.8413165000002,3250.7506111000007,4132.2770756,5489.3074907499995,0.620520454649343,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
completed,llm_http,gemma-3-12b-it,gpu,cuda,,,one-shot,2401,1000,0.24476987447698745,0.23275862068965517,0.23861318830727393,0.7655571635311144,702,2166,2314,1000,0,999,350,1,"{""invalid_json"": 1}","{""invalid_label"": 27, ""out_of_range_indices"": 8, ""overlapping_prediction"": 2, ""text_mismatch"": 1591}","{""length"": 1, ""stop"": 999}","{""boundary_and_label_error"": 146, ""boundary_error"": 161, ""label_error"": 82, ""missing_entity"": 1925, ""rejected_prediction"": 1628, ""spurious_prediction"": 149}",1586.4016296560014,1247.721293,3183.7232435,3976.8931092999987,5570.301762049999,0.6303573958234284,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
completed,llm_http,gemma-3-12b-it,gpu,cuda,,,one-shot,42,1000,0.21678321678321677,0.22612732095490717,0.2213567023693606,0.7536324167872648,682,2464,2334,1000,0,998,610,2,"{""invalid_json"": 2}","{""invalid_label"": 23, ""out_of_range_indices"": 19, ""text_mismatch"": 987}","{""length"": 2, ""stop"": 998}","{""boundary_and_label_error"": 299, ""boundary_error"": 400, ""label_error"": 107, ""missing_entity"": 1528, ""rejected_prediction"": 1029, ""spurious_prediction"": 629}",1672.1342805620004,1180.515326,3512.4285967,4589.406708299999,6100.13770134,0.5980380951605767,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
